Index,name,id,age
1,WORLD,900,22.7
2,More developed regions,901,29.5
3,Less developed regions,902,20
4,Least developed countries,941,18.6
5,Less developed regions; excluding least developed countries,934,20.2
6,Less developed regions; excluding China,948,19.5
7,Sub-Saharan Africa,947,18.6
8,AFRICA,903,18.6
9,Eastern Africa,910,17.8
10,Burundi,108,18.4
11,Comoros,174,19.5
12,Djibouti,262,18
13,Eritrea,232,17.2
14,Ethiopia,231,18.1
15,Kenya,404,17.2
16,Madagascar,450,19.2
17,Malawi,454,17
18,Mauritius,480,16.7
19,Mayotte,175,19.4
20,Mozambique,508,18.8
21,Réunion,638,17.8
22,Rwanda,646,16.3
23,Seychelles,690,22.1
24,Somalia,706,18.9
25,South Sudan,728,18.9
26,Uganda,800,17.1
27,United Republic of Tanzania,834,17
28,Zambia,894,17.4
29,Zimbabwe,716,17.4
30,Middle Africa,911,19
31,Angola,24,18.3
32,Cameroon,120,20.1
33,Central African Republic,140,21.4
34,Chad,148,19.9
35,Congo,178,19.5
36,Democratic Republic of the Congo,180,18.2
37,Equatorial Guinea,226,22.4
38,Gabon,266,27.1
39,Sao Tome and Principe,678,24.6
40,Northern Africa,912,18.7
41,Algeria,12,17.6
42,Egypt,818,19.8
43,Libya,434,19.5
44,Morocco,504,18.1
45,Sudan,729,17.6
46,Tunisia,788,18.3
47,Western Sahara,732,20.8
48,Southern Africa,913,19.5
49,Botswana,72,17.2
50,Lesotho,426,18.3
51,Namibia,516,19.3
52,South Africa,710,19.7
53,Swaziland,748,17.4
54,Western Africa,914,19
55,Benin,204,20.9
56,Burkina Faso,854,19.1
57,Cape Verde,132,20.5
58,Côte d'Ivoire,384,19.2
59,Gambia,270,20.8
60,Ghana,288,17.7
61,Guinea,324,20.1
62,Guinea-Bissau,624,18.6
63,Liberia,430,19
64,Mali,466,19.9
65,Mauritania,478,17.7
66,Niger,562,16.2
67,Nigeria,566,19
68,Senegal,686,18.4
69,Sierra Leone,694,20.9
70,Togo,768,18.5
71,ASIA,935,20.7
72,Eastern Asia,906,21.7
73,China,156,21.3
74,China; Hong Kong SAR,344,23.1
